File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294919347/final.py,324,20.773051176851652,10,99,3,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295459452/battleship.py,417,18.97610921501707,14,151,2,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_298404398/hmc5firstsemfinal/selfplayai.py,105,0.7267441860465129,6,43,3,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295590914/final.py,301,4.779295014290252,17,79,3,8,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294304343/oldmaid.py,160,3.083700440528636,6,42,3,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295445690/final.py,371,37.9435134922508,8,62,2,6,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295187767/simplifiedUno.py,306,28.89152213724011,12,72,2,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295500842/final.py,336,17.33443102817417,15,97,3,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294607403/final.py,410,44.03359237904236,17,80,2,5,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295474157/final.py,483,17.886373140569923,19,200,2,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295486975/final.py,261,17.310087173100875,11,64,2,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256825475/Game Of Life-Coral.py,697,40.74490097546556,11,88,2,5,gameOfLife,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295582004/milestone.py,316,23.84053990426116,8,58,2,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295298633/final.py,232,18.162267839687196,3,40,2,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295486197/finalproject.py,269,3.036809815950925,16,96,4,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295506953/starter (2).py,345,53.3307699702009,18,113,4,4,gameOfLife,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295491333/final.py,232,21.955149724721366,4,40,1,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256938017/final.py,320,6.039488966318229,13,68,2,7,textGame_keywords,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295477481/final.py,270,21.81671655537647,17,72,3,7,picoBot,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295384050/final.py,300,24.05536472014549,16,14,3,7,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295402714/final.py,295,57.26856316297011,18,61,3,7,gameOfLife,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295062016/talia_CSfinale.py,832,61.93580430868566,3,34,2,4,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256941197/final.py,406,26.953611457036118,16,66,3,8,textID,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295515221/final.py,426,28.787574479480483,11,56,2,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 2/submission_258407496/final.py,220,19.39572586588062,7,50,2,5,vPython,summer cs5 2024 section 2,520242
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295576117/csfinale.py,432,29.860287333596947,11,56,2,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_298404398/hmc5firstsemfinal/main.py,4,0.0,0,4,0,2,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295434875/TextID.py,383,34.27166476624858,16,66,3,7,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294853677/final.py,110,8.130999435347263,7,44,3,4,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294932686/final.py,276,8.570071258907364,12,110,2,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295444786/final.py,515,21.99641897940913,16,48,2,5,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256825475/Game Of Life-Prime Destroyer.py,707,39.96329433356275,11,103,2,5,gameOfLife,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295498887/final.py,465,46.347081263945874,15,54,3,8,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294519854/final.py,150,25.830842271848077,5,58,4,6,textGame_keywords,2024 post llm cs5,20245
