File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26673955/final.py,270,12.107271095152605,8,67,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26632390/final.py,464,27.769297139443815,27,150,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26663390/final.py,422,25.67193447917868,16,129,1,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638037/final.py,385,36.499892941260434,20,140,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26561281/final.py,492,28.6591863599323,30,173,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26642810/final.py,584,25.544855549923973,27,213,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26577780/final.py,394,23.852583586626142,24,162,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26386982/final.py,302,22.262320965377246,14,55,4,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26386982/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26618888/final.py,461,32.615275057860075,21,189,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26501189/final.py,258,24.958142649849314,14,57,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26501189/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26567191/final.py,267,22.678652708238513,14,54,3,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639754/final.py,225,21.91128311997619,7,66,2,4
